fund_name,Predicted strategy,strategy evidence,source meta data
Franklin Payout 2018 Fund,Balanced Fund (Low Risk),"Franklin Payout 2018 Fund

<head_breaker>

Franklin Payout 2018 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2018 Fund.txt'}
Franklin Payout 2019 Fund,Balanced Fund (Low Risk),"Franklin Payout 2019 Fund

<head_breaker>

Franklin Payout 2019 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2019 Fund.txt'}
Franklin Payout 2020 Fund,Balanced Fund (Low Risk),"Franklin Payout 2020 Fund

<head_breaker>

Franklin Payout 2020 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2020 Fund.txt'}
Franklin Payout 2021 Fund,Balanced Fund (Low Risk),"Franklin Payout 2021 Fund

<head_breaker>

Franklin Payout 2021 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2021 Fund.txt'}
Franklin Payout 2023 Fund,Balanced Fund (Low Risk),"Franklin Payout 2023 Fund

<head_breaker>

Franklin Payout 2023 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2023 Fund.txt'}
Franklin Payout 2022 Fund,Balanced Fund (Low Risk),"Franklin Payout 2022 Fund

<head_breaker>

Franklin Payout 2022 Fund

Investment Goal

To seek capital preservation and income with a pre-determined maturity date.

Fees and Expenses of the Fund

These tables describe the fees and expenses that you may pay if you buy and hold shares of the Fund.

Please note that the tables and examples below do not reflect any transaction fees that may be charged by financial intermediaries, or commissions that a shareholder may be required to pay directly to its financial intermediary when buying or selling Class R6 or Advisor Class shares.

Shareholder Fees (fees paid directly from your investment)

Class R6 	Advisor Class Maximum Sales Charge (Load) Imposed on Purchases (as percentage of offering price) 	None 	None Maximum Deferred Sales Charge (Load) (as percentage of the lower of original purchase price or sale proceeds) 	None 	None

Annual Fund Operating Expenses

(expenses that you pay each year as a percentage of the value of your investment)",{'source': 'MutualFundSummary/Franklin Payout 2022 Fund.txt'}
Global Balanced Fund,Balanced Fund (Low Risk),"Principal investment strategies As a balanced fund with global scope, the fund seeks to invest in equity and debt securities of companies around the world that offer the opportunity for growth and/or provide dividend income, while also constructing its portfolio to protect principal and limit volatility. The fund will allocate its assets among securities of companies domiciled in various countries, including the United States (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers outside the United States).

The fund’s investments in issuers domiciled outside the United States may include securities of issuers domiciled in developing countries.",{'source': 'MutualFundSummary/Global Balanced Fund.txt'}
Global Bond Fund,Fixed Income Long Only (Low Risk),"Principal investment strategies Under normal market circumstances, the fund invests at least 80% of its assets in bonds and other debt securities, which may be represented by other investment instruments, including derivatives. The fund invests primarily in debt securities, including asset-backed and mortgage-backed securities and securities of governmental, supranational and corporate issuers denominated in various currencies, including U.S. dollars. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net",{'source': 'MutualFundSummary/Global Bond Fund.txt'}
GLOBAL GOLD FUND,Balanced Fund (Low Risk),"2

Principal Investment Strategies

Under normal market conditions, the fund invests at least 80% of its net assets in companies that are engaged in mining, processing, fabricating, distributing, exploring for or otherwise dealing in gold. The fund may change this 80% policy only upon 60 days’ prior written notice to shareholders. In selecting stocks for the fund, the portfolio managers use quantitative management techniques in a two-step process. First, the managers rank stocks from most attractive to least attractive based on an objective set of measures, including valuation, quality, and sentiment. Second, the portfolio managers use a quantitative model to build a portfolio of stocks from the ranking described above that they believe will provide the optimal balance between risk and expected return.",{'source': 'MutualFundSummary/GLOBAL GOLD FUND.txt'}
Global Growth and Income Fund,Equity Long Only (Low Risk),"Principal investment strategies The fund invests primarily in common stocks of well-established companies around the world, which the investment adviser believes have the potential for growth and/or to pay dividends. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers outside the United States).",{'source': 'MutualFundSummary/Global Growth and Income Fund.txt'}
Global Growth Fund,Equity Long Only (Low Risk),"Principal investment strategies The fund invests primarily in common stocks of companies around the world that the investment adviser believes have the potential for growth. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at least 40% of its net assets, unless market conditions are not deemed favorable by the fund’s investment adviser, in which case the fund would invest at least 30% of its net assets in issuers outside the United States).",{'source': 'MutualFundSummary/Global Growth Fund.txt'}
GLOBAL SMALL CAP FUND,Equity Long Only (Low Risk),"#2#

Principal Investment Strategies

The fund will invest at least 80% of its net assets in securities issued by small cap companies. The portfolio managers consider small cap companies to include companies with market capitalizations not greater than that of the largest company on the MSCI ACWI Small Cap Index at the time of investment. As of January 31, 2018 , the total market capitalization of the largest company in the index was $13.1 billion.",{'source': 'MutualFundSummary/GLOBAL SMALL CAP FUND.txt'}
Global Small Capitalization Fund,Equity Long Only (Low Risk),"Principal investment strategies Normally, the fund invests at least 80% of its net assets in growth-oriented common stocks and other equity type securities of companies with small market capitalizations, measured at the time of purchase. However, the fund’s holdings of small capitalization stocks may fall below the 80% threshold due to subsequent market action. The investment adviser currently defines “small market capitalization” companies as companies with market capitalizations of $6.0 billion or less. The investment adviser has periodically re-evaluated and adjusted this definition and may continue to do so in the future. As a fund that seeks to invest globally, the fund will allocate its assets among securities of companies domiciled in various countries, including the United States and countries with emerging markets (but in no fewer than three countries). Under normal market conditions, the fund will invest significantly in issuers domiciled outside the United States (i.e., at",{'source': 'MutualFundSummary/Global Small Capitalization Fund.txt'}
Government Securities Fund,Balanced Fund (Low Risk),"Government Securities Fund

<head_breaker>",{'source': 'MutualFundSummary/Government Securities Fund.txt'}
Growth & Income Fund,Balanced Fund (Low Risk),"Growth & Income Fund

<head_breaker>",{'source': 'MutualFundSummary/Growth _ Income Fund.txt'}
Growth and Tax Strategy Fund,Balanced Fund (Low Risk),Growth and Tax Strategy Fund <head_breaker>,{'source': 'MutualFundSummary/Growth and Tax Strategy Fund.txt'}
Growth Fund,Equity Long Only (Low Risk),"believe call premiums are attractive relative to the price of the underlying security. Principal Risks • Growth Stocks – Investments in growth stocks may be more volatile than other stocks and the overall stock market. These stocks are typically priced higher than other stocks because of their growth potential, which may or may not be realized. • Style Risk – If at any time the market is not favoring the fund’s growth investment style, the fund’s gains may not be as big as, or its losses may be bigger than, those of other equity funds using different investment styles. • Market Risk – The value of the fund’s shares will go up and down based on the performance of the companies whose securities it owns and other factors generally affecting the securities market. • Price Volatility – The value of the fund’s shares may fluctuate significantly in the short term. • Foreign Securities – The fund may invest in foreign securities, which can be riskier than investing in U.S. securities.",{'source': 'MutualFundSummary/Growth Fund.txt'}
Growth-Income Fund,Balanced Fund (Low Risk),"Growth

Income Fund

<head_breaker>

Growth

Income Fund

Investment objectives The fund’s investment objectives are to achieve long-term growth of capital and income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.26% Other expenses	0.02 Total annual fund operating expenses	0.28 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'MutualFundSummary/Growth-Income Fund.txt'}
High Income Fund,Balanced Fund (Low Risk),"High Income Fund

<head_breaker>",{'source': 'MutualFundSummary/High Income Fund.txt'}
High-Income Bond Fund,Fixed Income Long Only (Low Risk),"Principal investment strategies The fund invests primarily in higher yielding and generally lower quality debt securities (rated Ba1 or below or BB+ or below by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser or unrated but determined by the fund’s investment adviser to be of equivalent quality), including corporate loan obligations. Such securities are sometimes referred to as “junk bonds” and may be represented by other investment instruments, including derivatives.",{'source': 'MutualFundSummary/High-Income Bond Fund.txt'}
HERITAGE FUND,Balanced Fund (Low Risk),"HERITAGE FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 13 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

Y

A

C

R

R5

R6

Maximum Sales Charge (Load) Imposed on Purchases (as a percentage of offering price)

None

None

None

5.75%

None

None

None

None

Maximum Deferred Sales Charge (Load)",{'source': 'MutualFundSummary/HERITAGE FUND.txt'}
INCOME & GROWTH FUND,Equity Long Only (Low Risk),"INCOME & GROWTH FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth by investing in common stocks. Income is a secondary objective.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 12 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

A

C

R

R5

Maximum Sales Charge (Load) Imposed on

Purchases (as a percentage of offering price)

None

None

5.75%

None

None

None

Maximum Deferred Sales Charge (Load)",{'source': 'MutualFundSummary/INCOME _ GROWTH FUND.txt'}
Income Stock Fund,Balanced Fund (Low Risk),"Income Stock Fund

<head_breaker>",{'source': 'MutualFundSummary/Income Stock Fund.txt'}
INTERNATIONAL CORE EQUITY FUND,Balanced Fund (Low Risk),"2

Principal Investment Strategies

In selecting stocks for the fund, the portfolio managers select from publicly traded companies that are primarily located in developed countries, excluding the United States and Canada, that have characteristics similar to those of the companies that comprise the MSCI EAFE® (Europe, Australasia, Far East) Index. The managers use quantitative models in a two-step process to construct the portfolio of stocks for the fund. First, the portfolio managers rank stocks from most attractive to least attractive by using a quantitative model that combines measures that the portfolio managers believe are predictive of an individual stock performance, such as valuation, quality and sentiment. Second, the portfolio managers use a quantitative model to build a portfolio of stocks from the ranking described above that they believe will provide the optimal balance between risk and expected return.",{'source': 'MutualFundSummary/INTERNATIONAL CORE EQUITY FUND.txt'}
INTERNATIONAL DISCOVERY FUND,Equity Long Only (Low Risk),"INTERNATIONAL DISCOVERY FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 13 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

Y

A

C

R

Maximum Sales Charge (Load) Imposed

on Purchases (as a percentage of offering price)

None

None

None

5.75%

None

None",{'source': 'MutualFundSummary/INTERNATIONAL DISCOVERY FUND.txt'}
Intermediate-Term Bond Fund,Fixed Income Long Only (Low Risk),"Intermediate

Term Bond Fund

<head_breaker>",{'source': 'MutualFundSummary/Intermediate-Term Bond Fund.txt'}
International Fund,Equity Long Only (Low Risk),"American Funds Insurance Series / Prospectus     10

Principal risks

This section describes the principal risks associated with the fund’s principal investment strategies. You may lose money by investing in the fund. The likelihood of loss may be greater if you invest for a shorter period of time. Investors in the fund should have a long-term perspective and be able to tolerate potentially sharp declines in value.

Market conditions — The prices of, and the income generated by, the common stocks and other securities held by the fund may decline – sometimes rapidly or unpredictably – due to various factors, including events or conditions affecting the general economy or particular industries; overall market changes; local, regional or global political, social or economic instability; governmental or governmental agency responses to economic conditions; and currency exchange rate, interest rate and commodity price fluctuations.",{'source': 'MutualFundSummary/International Fund.txt'}
International Growth and Income Fund,Balanced Fund (Low Risk),"Principal investment strategies The fund invests primarily in stocks of larger, well-established companies domiciled outside the United States, including companies domiciled in developing countries, that the investment adviser believes have the potential for growth and/or to pay dividends. The fund currently intends to invest at least 90% of its assets in securities of issuers domiciled outside the United States and whose securities are primarily listed or traded on exchanges outside the United States.

The fund is designed for investors seeking both capital appreciation and income. In pursuing its objective, the fund focuses on stocks of companies with strong earnings that pay dividends. The fund’s investment adviser believes that these stocks may be more resistant to market declines than stocks of companies that do not pay dividends.",{'source': 'MutualFundSummary/International Growth and Income Fund.txt'}
INTERNATIONAL GROWTH FUND,Equity Long Only (Low Risk),"The fund invests primarily in securities of companies located in at least three developed countries world-wide (excluding the United States). The fund may also invest in emerging market countries. The portfolio managers look for stocks of companies they believe will increase in value over time, using an investment strategy developed by the fund’s investment advisor. In implementing this strategy, the portfolio managers make their investment decisions based primarily on their analysis of individual companies, rather than on broad economic forecasts. Management of the fund is based on the belief that, over the long term, stock price movements follow growth in earnings, revenues and/or cash flow. The portfolio managers use a variety of analytical research tools and techniques to help them buy or hold stocks of companies that meet their investment criteria and sell the stocks of companies that do not. Under normal market conditions, the fund’s portfolio managers seek securities of",{'source': 'MutualFundSummary/INTERNATIONAL GROWTH FUND.txt'}
INTERNATIONAL OPPORTUNITIES FUND,Balanced Fund (Low Risk),"The fund may engage in active and frequent trading of portfolio securities to achieve its principal investment strategies. This may cause higher transaction costs and may affect performance. It may also result in the realization and distribution of capital gains.

Principal Risks

Foreign Risk – Foreign securities are generally riskier than U.S. securities. Political events (such as civil unrest, national elections and imposition of exchange controls), social and economic events (such as labor strikes and rising inflation), and natural disasters occurring in a country where the fund invests could cause the fund’s investments in that country to experience gains or losses. Securities of foreign issuers may be less liquid, more volatile and harder to value than U.S. securities.",{'source': 'MutualFundSummary/INTERNATIONAL OPPORTUNITIES FUND.txt'}
INTERNATIONAL VALUE FUND,Equity Long Only (Low Risk),"#2#

Principal Investment Strategies

In selecting stocks for the fund, the portfolio managers will normally invest at least 80% of the value of the fund’s net assets in equity securities and at least 65% of net assets in securities of issuers from a minimum of three countries outside the United States that have characteristics similar to those of the companies that comprise the MSCI EAFE® Value Index. Characteristics the portfolio managers may consider include industry sector and geographic location, among others.

The MSCI EAFE Value Index is a market capitalization-weighted index that monitors the performance of value stocks from Europe, Australasia, and the Far East.",{'source': 'MutualFundSummary/INTERNATIONAL VALUE FUND.txt'}
Ivy Asset Strategy Fund,Balanced Fund (Low Risk),"Ivy Asset Strategy Fund

<head_breaker>

Ivy Asset Strategy Fund

Objective

To seek to provide total return.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in funds within the Ivy Funds and/or InvestEd Portfolios. More information about these and other discounts is available from your financial professional, as well as in the Sales Charge Reductions section on page 255 of the Fund’s prospectus, in the Purchase, Redemption and Pricing of Shares section on page 146 of the Fund’s statement of additional information (SAI) and in Appendix B — Intermediary Sales Charge Discounts and Waivers. The Fund’s Class B shares are not available for purchase by new or existing investors, but are available for dividend reinvestment and exchanges.

Shareholder Fees",{'source': 'MutualFundSummary/Ivy Asset Strategy Fund.txt'}
Ivy Balanced Fund,Balanced Fund (Low Risk),"Principal Investment Strategies

Ivy Balanced Fund seeks to achieve its objective by investing primarily in a diversified mix of stocks, debt securities and short-term instruments, depending on market conditions. Regarding its equity investments, the Fund invests primarily in medium to large, well-established companies, most of which pay a regular dividend, although it may invest in securities issued by companies of any size. The Fund invests at least 50% of its total assets in equity securities. The Fund typically holds a limited number of stocks (generally 45 to 55), with the objective of providing potential capital appreciation and some dividend income.",{'source': 'MutualFundSummary/Ivy Balanced Fund.txt'}
Ivy Core Equity Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Core Equity Fund seeks to achieve its objective by investing, under normal circumstances, at least 80% of its net assets in equity securities, primarily in common stocks of large-capitalization companies. The Fund seeks to invest in companies that IICO believes have a leading market position or sustainable competitive advantage in their industry. Large-capitalization companies typically are companies with market capitalizations of at least $10 billion at the time of acquisition. The Fund invests in securities that have the potential for capital appreciation, or that IICO expects to resist market decline. Although the Fund primarily invests in securities issued by large-capitalization companies, it may invest in securities issued by companies of any size. The Fund may invest in securities of companies across the valuation spectrum, including securities issued by growth and value companies.",{'source': 'MutualFundSummary/Ivy Core Equity Fund.txt'}
Ivy Emerging Markets Equity Fund,Equity Long Only (Low Risk),"Ivy Emerging Markets Equity Fund invests, under normal circumstances, at least 80% of its net assets in equity securities, primarily common stock, of companies (i) from countries considered to be emerging market countries or (ii) that are economically linked to emerging market countries. Emerging market countries include, but are not limited to, those considered to be developing by the International Monetary Fund, the World Bank, the International Finance Corporation or one of the leading global investment banks. IICO has broad discretion to identify other countries that it considers to qualify as emerging market countries. The majority of these countries are likely to be located in Asia, Latin America, the Middle East, Central and Eastern Europe, and Africa. The Fund may invest in companies of any size and market capitalization and in companies in any industry. The issuer of a security or other investment generally is deemed to be economically linked to a particular country if: (a)",{'source': 'MutualFundSummary/Ivy Emerging Markets Equity Fund.txt'}
Ivy Energy Fund,Equity Long Only (Low Risk),"Ivy Energy Fund

<head_breaker>

Ivy Energy Fund

Objective

To seek to provide capital growth and appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in funds within the Ivy Funds and/or InvestEd Portfolios. More information about these and other discounts is available from your financial professional, as well as in the Sales Charge Reductions section on page 255 of the Fund’s prospectus, in the Purchase, Redemption and Pricing of Shares section on page 146 of the Fund’s statement of additional information (SAI) and in Appendix B — Intermediary Sales Charge Discounts and Waivers. The Fund’s Class B shares are not available for purchase by new or existing investors, but are available for dividend reinvestment and exchanges.

Shareholder Fees",{'source': 'MutualFundSummary/Ivy Energy Fund.txt'}
Ivy Global Income Allocation Fund,Balanced Fund (Low Risk),"Ivy Global Income Allocation Fund <head_breaker>

Ivy Global Income Allocation Fund

Objective

To seek to provide total return through a combination of current income and capital appreciation.

Fees and Expenses",{'source': 'MutualFundSummary/Ivy Global Income Allocation Fund.txt'}
Ivy Global Equity Income Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Global Equity Income Fund invests in equity securities that are issued by companies of any size located largely in developed markets around the world, that IICO believes will be able to generate a reasonable level of current income for investors given current market conditions, and that demonstrate favorable prospects for total return. The Fund focuses on companies that IICO believes have the ability to maintain and/or grow their dividends while providing capital appreciation over the long-term. The Fund typically holds a limited number of stocks (generally 50 to 70).",{'source': 'MutualFundSummary/Ivy Global Equity Income Fund.txt'}
Ivy Global Growth Fund,Equity Long Only (Low Risk),"Ivy Global Growth Fund seeks to achieve its objective by investing primarily in common stocks of U.S. and foreign companies (including depositary receipts of foreign issuers) that IICO believes are competitively well-positioned, gaining market share, have the potential for long-term growth and/or operate in regions or countries that IICO believes possess attractive growth characteristics. The Fund primarily invests in issuers of developed countries, including the U.S., although the Fund has the ability to invest in issuers domiciled in or doing business in any country or region around the globe, including emerging markets. While the Fund primarily invests in securities issued by large-capitalization companies (typically, companies with market capitalizations of at least $10 billion at the time of acquisition), it may invest in securities issued by companies of any size, in a variety of sectors and industries. Under normal circumstances, the Fund invests at least 40% (or, if the",{'source': 'MutualFundSummary/Ivy Global Growth Fund.txt'}
Ivy European Opportunities Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy European Opportunities Fund invests, under normal circumstances, at least 80% of its net assets in the equity securities of European companies. While the Fund tends to favor securities issued by large-capitalization European companies, it may invest in securities issued by European companies of any size that provide investment opportunities. The Fund typically invests in companies located in the more developed markets of Europe and may invest up to 100% of its total assets in foreign securities.",{'source': 'MutualFundSummary/Ivy European Opportunities Fund.txt'}
Ivy High Income Fund,Fixed Income Long Only (Low Risk),"Ivy High Income Fund

<head_breaker>

Ivy High Income Fund

Objective

To seek to provide total return through a combination of high current income and capital appreciation.

Fees and Expenses",{'source': 'MutualFundSummary/Ivy High Income Fund.txt'}
Ivy Large Cap Growth Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Large Cap Growth Fund seeks to achieve its objective by investing primarily in a diversified portfolio of common stocks issued by large-capitalization, growth-oriented companies with above-average levels of profitability and that IICO believes have the ability to sustain growth over the long term. Under normal circumstances, the Fund invests at least 80% of its net assets in large-capitalization companies, which typically are companies with market capitalizations of at least $10 billion at the time of acquisition. Growth-oriented companies are those whose earnings IICO believes are likely to grow faster than the economy.",{'source': 'MutualFundSummary/Ivy Large Cap Growth Fund.txt'}
Ivy Limited-Term Bond Fund,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

Ivy Limited-Term Bond Fund seeks to achieve its objective by investing primarily in investment grade, U.S. dollar-denominated, debt securities of primarily U.S. issuers. The Fund may invest in U.S. government securities, corporate debt securities, mortgage-backed securities including collateralized mortgage obligations (CMOs) and other asset-backed securities. The Fund seeks to identify relative value opportunities between these sectors of the fixed-income market. Under normal circumstances, the Fund invests at least 80% of its net assets in bonds with limited-term maturities; therefore, the Fund seeks to maintain a dollar-weighted average maturity of not less than two years and not more than five years.",{'source': 'MutualFundSummary/Ivy Limited-Term Bond Fund.txt'}
Ivy LaSalle Global Risk-Managed Real Estate Fund,Balanced Fund (Low Risk),"Principal Investment Strategies

Ivy LaSalle Global Risk-Managed Real Estate Fund is a non-diversified fund that invests, under normal circumstances, at least 80% of its net assets in securities of companies in the real estate or real estate-related industries. The Fund intends to invest primarily in equity and equity-related securities issued by “Global Real Estate Companies,” which are companies that meet one of the following criteria:

∎	 	companies qualifying for U.S. Federal income tax purposes as real estate investment trusts (REITs);

∎	 	entities similar to REITs formed under the laws of a country other than the U.S.;

∎	 	companies located in any country that, at the time of initial purchase by the Fund, derive at least 50% of their revenues from the ownership, construction, financing, management or sale of commercial, industrial or residential real estate, or that have at least 50% of their assets invested in such real estate; or",{'source': 'MutualFundSummary/Ivy LaSalle Global Risk-Managed Real Estate Fund.txt'}
Ivy Managed International Opportunities Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Managed International Opportunities Fund is a “fund-of-funds” that seeks to achieve its objective by providing investors a diversified portfolio of international stocks, as well as a modest amount of bonds, by investing primarily in Class N shares of certain Ivy Funds global/international mutual funds, as identified below. Each underlying Ivy Fund, in turn, invests in a diversified portfolio of foreign equity securities of issuers in developed as well as emerging markets, and, to a lesser extent, a mixture of securities and bonds issued by foreign corporations and governments, and U.S. equity securities.

The Board, based upon the recommendation of IICO, has authorized the following target allocation ranges for investment of the Fund’s assets in specific underlying funds, although IICO expects the allocation will change over time:

Underlying Fund	 	Maximum Allocation	 	  	Minimum Allocation Ivy Emerging Markets Equity Fund",{'source': 'MutualFundSummary/Ivy Managed International Opportunities Fund.txt'}
Ivy Micro Cap Growth Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Micro Cap Growth Fund seeks to achieve its objective by investing, under normal circumstances, at least 80% of its net assets in equity securities of micro-capitalization companies. The Fund considers a company to be a micro-capitalization company if its market capitalization, at the time of acquisition, is less than the greater of $2 billion or the market capitalization of the largest company in the Russell Microcap Growth Index. As of June 30, 2018 (the quarter-end closest to the index’s rebalance), the largest company in the Russell Microcap Growth Index had a market capitalization of $1.97 billion. The Fund primarily invests in common stock, which may include common stocks that are offered in initial public offerings (IPOs).",{'source': 'MutualFundSummary/Ivy Micro Cap Growth Fund.txt'}
Ivy Mid Cap Growth Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Ivy Mid Cap Growth Fund seeks to achieve its objective by investing primarily in common stocks of mid-capitalization companies that IICO believes are high quality and/or offer above-average growth potential. Under normal circumstances, the Fund invests at least 80% of its net assets in the securities of mid-capitalization companies, which, for purposes of this Fund, typically are companies with market capitalizations within the range of companies in the Russell Midcap Growth Index at the time of acquisition. As of June 30, 2018 (the quarter-end closest to the index’s rebalance), this range of market capitalizations was between approximately $2.44 billion and $35.58 billion.",{'source': 'MutualFundSummary/Ivy Mid Cap Growth Fund.txt'}
